participant_id	liming_nordic.specificity	liming_nordic.s1	liming_nordic.aca	roam_nordic.specificity	roam_nordic.s1	roam_nordic.aca	rabies_icaaroma_nordic.specificity	rabies_icaaroma_nordic.s1	rabies_icaaroma_nordic.aca	ednixgd_nordic.specificity	ednixgd_nordic.s1	ednixgd_nordic.aca	ednixgsr_nordic.specificity	ednixgsr_nordic.s1	ednixgsr_nordic.aca	zipp_nordic.specificity	zipp_nordic.s1	zipp_nordic.aca
sub-301300	non-specific	0.00546	0.12489	no	0.09099	0.0484	no	-0.02702	0.05681	no	-0.06071	0.06128	no	-0.06906	0.04903	specific	0.44161	-0.24635
sub-301301	no	-0.00636	-0.01111	no	0.01272	-0.01312	no	0.01106	0.09051	no	0.01571	0.03521	no	0.01093	0.02216	non-specific	0.05915	0.17077
sub-301302	specific	0.16668	-0.04293	non-specific	-0.01129	0.14843	no	0.07225	0.01091	no	0.06682	-0.01153	no	0.07769	0.01969	specific	0.24194	0.07487
sub-301303	specific	0.20585	0.0791	no	0.0516	-0.00926	no	0.05735	0.03174	no	0.07068	0.07067	no	0.06744	0.0573	spurious	0.39766	0.37124
sub-301304	no	0.04934	0.01324	no	0.07959	-0.05748	no	-0.01889	0.00574	no	0.03748	0.02906	no	0.0352	0.02844	spurious	0.12345	0.14521
sub-301305	specific	0.13226	0.03084	specific	0.12256	0.05455	no	-0.01596	0.01921	no	0.07102	0.07927	non-specific	0.07735	0.10277	spurious	0.34285	0.12828
sub-301306	no	0.09637	-0.05132	no	0.06946	0.04068	no	-0.0099	-0.00551	no	-0.07577	0.01695	no	-0.06709	0.01228	specific	0.15782	0.05574
sub-301307	specific	0.10007	-0.00151	specific	0.17208	0.02282	no	-0.08932	-0.02544	non-specific	0.0346	0.18993	non-specific	0.02452	0.16946	spurious	0.12324	0.23179
sub-301308	specific	0.11933	0.01014	no	-0.08672	-0.04295	no	-0.09407	-0.08434	no	-0.03191	-0.02953	no	-0.03148	-0.03932	NA	NA	NA
sub-301309	no	-0.00096	-0.05042	no	0.03419	0.05963	non-specific	-0.00206	0.10063	no	0.0119	0.07108	no	0.01971	0.04692	spurious	0.36518	0.28112
